﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:51ZPtAuqT0V5lNONYZTrxy","Hey Now","London Grammar","If You Wait","1","1","207253","spotify:user:124275045","2015-04-01T11:57:04Z"
"spotify:track:4OEgP8HMGt7oIFAvk6Ydjo","Should Have Known Better","Sufjan Stevens","Should Have Known Better","1","1","307697","spotify:user:124275045","2015-04-01T11:57:11Z"
"spotify:track:3O09PoBmmhotSUxLZfcRP0","I Really Like You","Carly Rae Jepsen","I Really Like You","1","1","205066","spotify:user:124275045","2015-04-01T11:57:18Z"
"spotify:track:1KM2YtlA69C6WKbxA1vdsR","Honey & I","HAIM","Days Are Gone","1","5","250133","spotify:user:124275045","2015-04-01T11:57:27Z"
"spotify:track:3pDEtP8fRPi7t7GrDdpmaf","This Must Be the Place (Naive Melody) - Remastered","Talking Heads","The Best Of Talking Heads","1","11","296133","spotify:user:124275045","2015-04-01T11:57:52Z"
"spotify:track:37i6z8YqVrsvlx9jAaF6Rf","Suite: Judy Blue Eyes - Remastered","Crosby, Stills & Nash","Crosby, Stills & Nash [Digital Version]","1","1","444053","spotify:user:124275045","2015-04-02T13:51:00Z"
"spotify:track:5YF9LcLUnzyiiPul1DyZwa","Make You Better","The Decemberists","What A Terrible World, What A Beautiful World","1","4","307866","spotify:user:124275045","2015-04-04T19:15:44Z"
"spotify:track:3IJLF4AJFL6hBlCbdwL8UQ","Run Baby Run","Toro y Moi","What For?","1","9","165261","spotify:user:124275045","2015-04-11T20:10:49Z"
"spotify:local:Vampire+Weekend:Vampire+Weekend:Boston:162","Boston","Vampire Weekend","Vampire Weekend","0","0","162000","spotify:user:124275045","2015-04-13T14:18:09Z"
"spotify:track:03yOjwHoOPDlTUg0NRxN6t","Cemetry Gates - 2011 Remaster","The Smiths","The Queen Is Dead","1","5","161040","spotify:user:124275045","2015-04-16T14:44:25Z"
"spotify:track:64Cg9jT2tAo8z1C7wNLFt0","Till the World Ends - Livingroom Session","Erato","Pictures of Pets","1","11","157240","spotify:user:124275045","2015-04-21T23:07:16Z"
"spotify:local:Beyonc%C3%A9:Ligaments+of+Right+Hand:XO:217","XO","Beyoncé","Ligaments of Right Hand","0","0","217000","spotify:user:124275045","2015-04-21T23:12:38Z"
"spotify:track:6mEeutpoC30B6yALroRlFW","I Believe in a Thing Called Love","Branches","Covers","1","1","184000","spotify:user:124275045","2015-04-23T15:20:23Z"
"spotify:track:4nuPrKithHbRJXuA9spwu4","December, 1963 [Oh What A Night!] (45 Version)","Frankie Valli & The Four Seasons","December, 1963 [Oh What A Night] / Slip Away [Digital 45]","1","1","201093","spotify:user:124275045","2015-04-23T17:00:55Z"
"spotify:track:5rTg7E3F5Tk7bKHooLOeZA","Before I Sleep","Marika Hackman","We Slept at Last","1","2","231970","spotify:user:124275045","2015-04-23T17:08:02Z"
"spotify:track:2tpfxAXiI52znho4WE3XFA","Talking Body","Tove Lo","Queen Of The Clouds","1","4","238426","spotify:user:124275045","2015-04-23T20:51:14Z"
