﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1309J5udF4Nx640HUamjif","The Rivers of Babylon","The Melodians","Rivers of Babylon","1","1","238506","spotify:user:124275045","2018-08-01T18:55:30Z"
"spotify:track:3t87C08isN6yw2DnWOorLm","Hannah Hunt","Vampire Weekend","Modern Vampires of the City","1","6","237973","spotify:user:124275045","2018-08-01T18:45:22Z"
"spotify:track:21ByD5uzTBkUtI2lb55JUs","Makoun Oumou","Fatoumata Diawara","Fatou","1","5","276213","spotify:user:124275045","2018-08-01T18:51:16Z"
"spotify:track:2KBQH1GGhLzS4N0vNS1HJF","No Woman, No Cry - Live At The Lyceum, London/1975","Bob Marley & The Wailers","Legend (Deluxe Edition)","1","2","429200","spotify:user:124275045","2018-08-01T18:46:07Z"
"spotify:track:3SWpH05o2ow3GZkhd6EsMZ","Waiting In Vain","Annie Lennox, Heff Moraes","Medusa","1","9","340893","spotify:user:124275045","2018-08-01T18:46:31Z"
"spotify:track:5uhOA4A7WjpL1CwTMWwsun","Am I Too Blue","Lucinda Williams","Lucinda Williams (Deluxe Edition)","1","8","176600","spotify:user:124275045","2018-08-01T18:58:07Z"
"spotify:track:3gsCAGsWr6pUm1Vy7CPPob","Killing Me Softly With His Song","Roberta Flack","Killing Me Softly","1","1","286920","spotify:user:124275045","2018-08-01T18:56:49Z"
"spotify:track:2Xthcco21h09t27ZkYWo0d","Pressure Drop - Single Version","Toots & The Maytals","Time Tough: The Anthology","1","14","163306","spotify:user:124275045","2018-08-01T18:54:03Z"
"spotify:track:1DEZSoHMJHIyHJo8k1dAYB","Castles Made Of Sand/Little Wing","Tuck & Patti","Pure Tuck & Patti","1","5","358986","spotify:user:124275045","2018-08-01T18:46:45Z"
"spotify:track:4jKe4NnyGnDKb59svENink","Sowa","Fatoumata Diawara","Fatou","1","2","188186","spotify:user:124275045","2018-08-01T18:51:20Z"
"spotify:track:6Ge2Ob69SEZ2l78e3IE0Aw","I Found a Reason","Cat Power","The Covers Record","1","7","120800","spotify:user:124275045","2018-08-01T18:53:17Z"
"spotify:track:0Tzzq5hXNn62bxxRbcA8X5","Lonely Girls","Lucinda Williams","Essence","1","1","242333","spotify:user:124275045","2018-08-10T17:03:01Z"
"spotify:track:0WQiDwKJclirSYG9v5tayI","There Is a Light That Never Goes Out - 2011 Remaster","The Smiths","The Queen Is Dead","1","9","244586","spotify:user:124275045","2018-08-01T18:51:58Z"
"spotify:track:72RXyIIQVsl7c8PgTpGovI","Dreams","Vanessa Carlton","Dreams","1","1","266546","spotify:user:124275045","2018-08-10T02:41:23Z"
"spotify:track:514rhnksEwHUh6LxXsQ4Y9","Back To You","Selena Gomez","13 Reasons Why (Season 2)","1","1","210240","spotify:user:124275045","2018-08-01T19:05:37Z"
"spotify:local:Gillian+Welch:Live+09%2F24%2F04++Minneapolis%2C+MN:Black+Star+%28Radiohead%29:318","Black Star (Radiohead)","Gillian Welch","Live 09/24/04  Minneapolis, MN","0","0","318000","spotify:user:124275045","2018-08-01T19:01:39Z"
"spotify:track:7wlTPJPN7muo07fftjAZfp","Time After Time","Tuck & Patti","Tears Of Joy","1","4","287133","spotify:user:124275045","2018-08-01T18:50:07Z"
"spotify:track:5vUNRJsvEOUsz4sbKkJpFr","Latch - Acoustic","Sam Smith","In The Lonely Hour (Drowning Shadows Edition)","1","12","223429","spotify:user:124275045","2018-08-01T18:57:35Z"
"spotify:track:7x6hO9VMAee9x1iWaeNkL6","To Zion","Ms. Lauryn Hill, Carlos Santana","The Miseducation of Lauryn Hill","1","4","369293","spotify:user:124275045","2018-08-01T18:56:18Z"
"spotify:track:0NLcoL6sLZIJWwaLLc5JBq","Sundays - Live at Kcrw","Lucinda Williams","Lucinda Williams (Deluxe Edition)","2","20","203760","spotify:user:124275045","2018-08-01T18:59:06Z"
"spotify:track:6A7ph3uhFzTUcUqOHE7NS7","Can’t Let Go, Juno","Kishi Bashi","Sonderlust","1","4","262680","spotify:user:124275045","2018-08-26T13:37:47Z"
"spotify:track:6PbeGqzGdjookqESRgm1AS","True Love Waits (Live In Oslo)","Radiohead","I Might Be Wrong","1","8","304920","spotify:user:124275045","2018-08-01T19:03:54Z"
"spotify:track:0rc5xgT8FPswJyRiA3hvKI","Work Song - Live in America","Hozier","Live in America","1","5","249280","spotify:user:124275045","2018-08-01T19:06:58Z"
"spotify:track:2dMLCGU6VnTGDTYTWHNuYa","Intuition","Feist","The Reminder (Deluxe Version)","1","11","276666","spotify:user:124275045","2018-08-01T19:15:00Z"
"spotify:track:3swJdMf0mHxaUFz3xAl7Hc","Longing","Ry Cooder & V.M. Bhatt","A Meeting by the River","1","2","718093","spotify:user:124275045","2018-08-01T18:54:39Z"
"spotify:track:0mBkoM8r7KAQzZij5swTUL","Walking On A Dream","Empire of the Sun","Walking On A Dream","1","2","198440","spotify:user:124275045","2018-08-04T21:34:18Z"
