﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2Zw80eYDdpRNIgupO0X77B","Nobody's Empire","Belle & Sebastian","Nobody's Empire","1","1","307259","spotify:user:124275045","2014-12-14T00:51:04Z"
"spotify:track:5yAoUyUvSQZeNrIvrlpN9p","Overture","Duke Ellington","The Nutcracker Suite","1","1","214519","spotify:user:124275045","2014-12-02T16:40:26Z"
"spotify:track:6JFc0YHtb1jUwG1ddn4dEB","Coventry Carol","Sufjan Stevens","Silver & Gold","1","3","173946","spotify:user:124275045","2014-12-02T16:40:31Z"
"spotify:track:5BkNCuxzzid0gz9sx3NNbX","My Silver Lining","First Aid Kit","Stay Gold","1","1","215493","spotify:user:124275045","2014-12-02T16:48:15Z"
"spotify:track:1OkCqIuPJeaLksbOcZXVaz","Drown","Marika Hackman","Drown","1","1","231670","spotify:user:124275045","2014-12-14T01:00:36Z"
"spotify:track:11xmB9zFWfaEdxOUS1KOYL","Baby It's Cold Outside","Uptown Vocal","Premium Blend","1","6","149218","spotify:user:124275045","2014-12-02T16:40:14Z"
"spotify:track:5Zw4G60gwvP8FXYm9TbXHk","Tomorrow Shall Be My Dancing Day","John Gardner, Huw Tregelles Williams, Chris Stock, Mark Walker, BBC Welsh Chorus, John Hugh Thomas","The Spirit of Christmas Present","1","4","120000","spotify:user:124275045","2014-12-02T16:40:29Z"
"spotify:track:6jwuR8NmVaAAjwuJuKNjKr","O Come O Come Emmanuel","Sufjan Stevens","Songs For Christmas","1","2","240560","spotify:user:124275045","2014-12-02T16:40:35Z"
"spotify:track:0DAmSYQW9kq9gQNDI002KP","River","Joni Mitchell","Blue","1","8","245040","spotify:user:124275045","2014-12-02T16:40:44Z"
"spotify:track:0tYBiLDoq0htFLuTs0O0W9","Adam lay ybounden","Boris Ord, The Cambridge Singers, John Rutter","Carols Of The Nativity","1","2","70960","spotify:user:124275045","2014-12-06T02:19:53Z"
"spotify:track:7CQlCSxXxOY4AqqTVUav9p","El Condor Pasa (If I Could)","Simon & Garfunkel","Wild - Original Motion Picture Soundtrack","1","1","188080","spotify:user:124275045","2014-12-06T02:47:44Z"
"spotify:track:0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","Mariah Carey","Merry Christmas","1","2","241106","spotify:user:124275045","2014-12-02T16:40:37Z"
"spotify:track:0PHwCbA310LLIMcSDpQbgF","Two Weeks","FKA twigs","LP1","1","3","247547","spotify:user:124275045","2014-12-02T16:48:24Z"
"spotify:track:665xY2NXuQcQ5yz4KWlf2g","Tallahassee","The Mountain Goats","Tallahassee","1","1","283066","spotify:user:124275045","2014-12-02T16:48:27Z"
"spotify:track:5avoYLYi2gYnCTm7wQQWTw","Walk Unafraid","First Aid Kit","Wild - Original Motion Picture Soundtrack","1","2","317520","spotify:user:124275045","2014-12-06T02:47:02Z"
"spotify:local:Bill+Nighy:Love+Actually:Christmas+Is+All+Around:232","Christmas Is All Around","Bill Nighy","Love Actually","0","0","232000","spotify:user:124275045","2014-12-02T16:40:47Z"
"spotify:track:0brytNfZX5Bj4edEHuedlN","Let It Snow! Let It Snow! Let It Snow!","Ella Fitzgerald, Jule Styne","Jazz - Winter Classics","1","8","162360","spotify:user:124275045","2014-12-02T17:35:01Z"
"spotify:track:4PvD06Pmbm2rHG2JjSlElF","Beggin For Thread","BANKS","Goddess (Deluxe)","1","10","249739","spotify:user:124275045","2014-12-11T15:00:47Z"
"spotify:track:1WaaHRrpBdsUpl0Zuke8iy","Greensleeves","Oliver Nelson, Traditional","Jazz - Winter Classics","1","9","148720","spotify:user:124275045","2014-12-02T17:38:06Z"
"spotify:track:3jn7LDPfgq3asBu6MWA41R","Tomorrow shall be my dancing day (Arr. D. Willcocks)","Traditional, The Cambridge Singers, John Rutter","Carols Of The Nativity","1","12","120346","spotify:user:124275045","2014-12-06T02:19:04Z"
"spotify:track:4eqne0oIdt9GW2ubiliny0","Have Yourself A Merry Little Christmas - "Meet Me In St. Louis" Original Cast Recording","Judy Garland","The Complete Decca Masters (Plus)","3","13","162200","spotify:user:124275045","2014-12-13T03:37:23Z"
"spotify:track:7DPLU15l5xBudz9M5Oq6qj","81","Marika Hackman","Sugar Blind EP","1","4","156425","spotify:user:124275045","2014-12-14T01:28:30Z"
