﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4DyfJFTQb27adTDdhFeSgD","Alaska","Maggie Rogers","Now That The Light Is Fading","1","2","189400","spotify:user:124275045","2019-02-01T14:35:16Z"
"spotify:track:11r8xMuVTS66RjtYgLneRw","Fallingwater","Maggie Rogers","Fallingwater","1","1","270094","spotify:user:124275045","2019-02-01T14:35:23Z"
"spotify:track:7kHU3Re5YQd45PLwGRbGvE","Islands","Shakira","Sale el Sol","1","10","162893","spotify:user:124275045","2019-02-01T14:35:38Z"
"spotify:track:5kXDF4OmM5COyeo6z97nEk","Harmony Hall","Vampire Weekend","Harmony Hall / 2021","1","1","308733","spotify:user:124275045","2019-02-01T14:35:48Z"
"spotify:track:7D3fFG8XtOI7v0pD2fUmsr","2021","Vampire Weekend","Harmony Hall / 2021","1","2","98346","spotify:user:124275045","2019-02-01T14:35:48Z"
"spotify:track:3lHtxy7keWMXYBQU5LkUXH","Retrograde","Maggie Rogers","Heard It In A Past Life","1","10","251000","spotify:user:124275045","2019-02-01T14:36:01Z"
"spotify:track:6208C3qAxNakZF8WXJRp0I","Younger","The Mountain Goats","Younger","1","1","352386","spotify:user:124275045","2019-02-01T14:37:07Z"
"spotify:track:3ghgwo0BTPm329zGMQRfn7","I Feel It All","Feist","The Reminder","1","2","219480","spotify:user:124275045","2019-02-01T19:53:26Z"
"spotify:track:2e9N4vHYVUwSwRorBzsZXE","Almost (Sweet Music)","Hozier","Almost (Sweet Music)","1","1","217480","spotify:user:124275045","2019-02-03T21:06:39Z"
"spotify:track:6zmANU5l4qCHQrI5cZhSS2","Movement","Hozier","Movement","1","1","237120","spotify:user:124275045","2019-02-03T21:06:47Z"
"spotify:track:3vHZogGuw36HLk1BeGLhZq","Blues Run The Game","Laura Marling","Blues Run The Game","1","1","158146","spotify:user:124275045","2019-02-05T01:40:59Z"
"spotify:track:0cAPfvvqFZsqsIz3ZDSKIa","This Must Be The Place (Naive Melody) - Live","Talking Heads","Stop Making Sense","1","11","297226","spotify:user:124275045","2019-02-05T02:00:01Z"
"spotify:track:0ITwTSwgsqcPtRBeNYe9yy","Head Underwater","Jenny Lewis","The Voyager","1","1","248160","spotify:user:124275045","2019-02-07T16:45:13Z"
"spotify:track:1J5rHMEvQFpM07iLULi48A","back again","flor","come out. you're hiding (deluxe)","1","5","201398","spotify:user:124275045","2019-02-12T15:53:11Z"
"spotify:track:4YOhnfw7i9YAi6j8cQtvGE","Gut Feeling","Peter Bjorn and John","Darker Days","1","4","182538","spotify:user:124275045","2019-02-17T02:07:30Z"
"spotify:track:0oPOyY3KH2Vh6RE9iaRBsU","Up Against The Wall","Peter Bjorn and John","Writer's Block","1","6","426093","spotify:user:124275045","2019-02-17T02:27:52Z"
"spotify:track:2lOuvydCaSk8asn1HxBO9r","Be The One","Dua Lipa","Dua Lipa (Complete Edition)","1","4","202914","spotify:user:124275045","2019-02-18T23:20:22Z"
"spotify:track:7HRmnRfpghEaPsHHqvHhmv","The Boho Dance","Joni Mitchell","The Hissing Of Summer Lawns","1","7","230506","spotify:user:124275045","2019-02-18T23:54:12Z"
"spotify:track:02TVLk5qOiB74xvS4kzEkg","Sweet Bird","Joni Mitchell","The Hissing Of Summer Lawns","1","9","251693","spotify:user:124275045","2019-02-19T23:12:39Z"
"spotify:track:6WLkxUmRRl2OC6UFGc8tTa","Raincoat Song","The Decemberists","Always The Bridesmaid (Vol. 3)","1","2","139840","spotify:user:124275045","2019-02-24T01:34:50Z"
