﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6j8R8Zw5QYHhUkf5Tkf08l","Little Star","Stina Nordenstam","Romeo & Juliet Soundtrack","1","12","219506","spotify:user:124275045","2013-01-17T18:25:31Z"
"spotify:track:6t4zyaGzYDdmS7ulpGmrfZ","Saeglópur","Sigur Rós","Takk...","1","6","458960","spotify:user:124275045","2013-01-17T18:26:20Z"
"spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ","No Diggity","Blackstreet, Dr. Dre, Queen Pen","Another Level","1","3","304600","spotify:user:124275045","2013-01-17T18:26:33Z"
"spotify:track:0ZT9Q8a1j3ayPvfYEyoCgI","Nostalgia","Emily Barker","Fields Of June","1","2","232946","spotify:user:124275045","2013-01-17T18:29:36Z"
"spotify:track:1mlZ32mqpSkL2LIjxUItfw","You And Me Song","The Wannadies","Romeo & Juliet Soundtrack","1","13","174520","spotify:user:124275045","2013-01-17T18:34:26Z"
"spotify:track:6mnjcTmK8TewHfyOp3fC9C","Die Young","Kesha","Warrior (Deluxe Version)","1","2","211920","spotify:user:124275045","2013-01-17T18:34:30Z"
"spotify:track:0ORwGQJDfpxyNXOKTZpqMX","Concerning the UFO sighting near Highland, Illinois","Sufjan Stevens","Illinois","1","1","128986","spotify:user:124275045","2013-01-17T18:46:19Z"
"spotify:track:3o84lp3tLtxaM4uYf4gx57","Leaning On The Everlasting Arms","Iris DeMent","Lifeline","1","8","173746","spotify:user:124275045","2013-01-18T15:19:09Z"
"spotify:track:7hMqIrwysNlIXRmFCIn5j3","Anything Could Happen","Ellie Goulding","Anything Could Happen","1","1","286082","spotify:user:124275045","2013-01-29T15:12:28Z"
"spotify:track:7ImkjvM1OKWhJ5HIPOHcHE","Walking With a Ghost","Tegan and Sara","So Jealous","1","8","150293","spotify:user:124275045","2013-01-29T15:57:16Z"
"spotify:track:7g13jf3zqlP5S68Voo5v9m","Dancing On My Own - Radio Edit","Robyn","Body Talk","1","1","278080","spotify:user:124275045","2013-01-31T04:21:08Z"
"spotify:track:5TCSMWZow9lzc7jr8WscVD","I Was a Fool","Tegan and Sara","Heartthrob","1","3","204213","spotify:user:124275045","2013-01-31T15:44:53Z"
