﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3MqGxCA7NNrLKA2us9jAns","I Wish","Cher Lloyd, T.I.","I Wish","1","1","211813","spotify:user:124275045","2014-06-24T17:03:46Z"
"spotify:track:1JmPASoql4lnXimD5ICqRP","Not a Bad Thing","Justin Timberlake","Not a Bad Thing","1","1","266294","spotify:user:124275045","2014-06-24T22:46:55Z"
"spotify:track:5jrdCoLpJSvHHorevXBATy","Dark Horse","Katy Perry, Juicy J","PRISM (Deluxe)","1","6","215672","spotify:user:124275045","2014-06-24T22:46:57Z"
"spotify:track:3H9DlQEsjB0whMWy9g4MCX","Fancy","Iggy Azalea, Charli XCX","The New Classic","1","5","199938","spotify:user:124275045","2014-06-24T22:47:06Z"
"spotify:track:7rCst0OgoSxwP1C6d7J8ks","Real","Years & Years","Real","1","1","245762","spotify:user:124275045","2014-06-26T00:32:20Z"
"spotify:track:71jGGLe5VtEHjIk5dU2W3S","Red Eyes","The War On Drugs","Lost In The Dream","1","2","298920","spotify:user:124275045","2014-06-26T00:45:56Z"
"spotify:track:3gbBpTdY8lnQwqxNCcf795","Pompeii","Bastille","Bad Blood","1","1","214147","spotify:user:124275045","2014-06-28T02:25:17Z"
"spotify:track:0vvG0VEN6l2fbIEUtq3mQD","American Girl","Bonnie McKee","American Girl","1","1","224106","spotify:user:124275045","2014-07-07T12:50:28Z"
"spotify:track:1NOZvdCovG42qQV7ftVD5d","Birthday","Katy Perry","PRISM","1","3","215042","spotify:user:124275045","2014-07-07T17:59:07Z"
"spotify:track:2ia7iiEtpiOL2ZVuWxBZGB","I Will Never Let You Down","Rita Ora","I Will Never Let You Down","1","1","203466","spotify:user:124275045","2014-07-09T14:57:27Z"
"spotify:track:4PqIj0WOfPAq4QAvisjgpd","You’ll Never Know","Ariana Grande","Yours Truly","1","9","214280","spotify:user:124275045","2014-07-11T13:09:18Z"
"spotify:track:0a612uSmQ7zXV54buD9LSn","The City","The 1975","The 1975","1","2","206893","spotify:user:124275045","2014-07-11T13:37:19Z"
"spotify:track:7eEEgizmmwDNvdUI7yOiAF","Tiderays","Volcano Choir","Repave","1","1","297306","spotify:user:124275045","2014-07-11T16:35:25Z"
"spotify:track:6XW2rKHwNnX5qzk79Qis9w","This Is The Last Time","The National","Trouble Will Find Me","1","7","283386","spotify:user:124275045","2014-07-13T14:16:19Z"
"spotify:track:4E8KoNTXZnWDE3cCjjw8FU","Break Free","Ariana Grande, Zedd","Break Free","1","1","214693","spotify:user:124275045","2014-07-15T18:21:01Z"
"spotify:track:3pVbA69fLbVMwEv7ESCTm5","Jealous (I Ain't With It)","Chromeo","Jealous (I Ain't With It)","1","1","228026","spotify:user:124275045","2014-07-15T18:42:00Z"
"spotify:track:47muNlVTjDtQfyUqDaiFlN","Go","Grimes, Blood Diamonds","Go","1","1","240759","spotify:user:124275045","2014-07-18T16:39:49Z"
"spotify:track:3s4U7OHV7gnj42VV72eSZ6","Rather Be (feat. Jess Glynne)","Clean Bandit, Jess Glynne","Rather Be (feat. Jess Glynne)","1","1","227833","spotify:user:124275045","2014-07-29T13:11:28Z"
"spotify:track:1BltsyC5W3SAABdxyrDXwi","Latch","Disclosure, Sam Smith","Settle","1","3","255631","spotify:user:124275045","2014-08-02T16:55:07Z"
"spotify:track:20byjuLA86KfF9qjzxiwWG","Graceless","The National","Trouble Will Find Me","1","8","275400","spotify:user:124275045","2014-08-05T02:17:07Z"
