﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7qwRL6NeN081ZaqCdRM9tm","Right Now","HAIM","Right Now","1","1","253376","spotify:user:124275045","2017-06-01T17:14:23Z"
"spotify:track:1nYWTzy5zu3zEPNgB1sItW","Speak Now","Taylor Swift","Speak Now (Deluxe Edition)","1","4","240760","spotify:user:124275045","2017-06-18T23:51:16Z"
"spotify:track:6c8QH9FMFKj0ZgNeiyOx4v","Over My Head (Cable Car)","The Fray","Over My Head (Cable Car)","1","1","236373","spotify:user:124275045","2017-06-01T17:13:57Z"
"spotify:track:35OppZQwLS8hpxIom3LGHz","Belly of the Beat","Grimes","Art Angels","1","5","205567","spotify:user:124275045","2017-06-01T17:14:04Z"
"spotify:track:1ZeDWXJnkZOLOmbGEOPSMe","Want You Back","HAIM","Want You Back","1","1","232666","spotify:user:124275045","2017-06-01T17:14:33Z"
"spotify:track:6hyY2Rfx6S6VOG0bAlbbbf","Make Them Gold","CHVRCHES","Every Open Eye (Extended Edition)","1","4","231765","spotify:user:124275045","2017-06-03T13:23:45Z"
"spotify:track:6EJiVf7U0p1BBfs0qqeb1f","Cut To The Feeling","Carly Rae Jepsen","Cut To The Feeling","1","1","207959","spotify:user:124275045","2017-06-16T12:29:14Z"
"spotify:track:7ARveOiD31w2Nq0n5FsSf8","Perfect Places","Lorde","Melodrama","1","11","221874","spotify:user:124275045","2017-06-16T13:14:17Z"
"spotify:track:6PDPy2HspcDoiSAxRSmhug","Black Heart","Carly Rae Jepsen","Emotion","1","13","176720","spotify:user:124275045","2017-06-18T23:22:19Z"
"spotify:track:7lxADouiWFkwR7ZV2GKUcH","Back To December","Taylor Swift","Speak Now (Deluxe Edition)","1","3","293026","spotify:user:124275045","2017-06-18T23:50:52Z"
"spotify:track:7yCPwWs66K8Ba5lFuU2bcx","All The Small Things","blink-182","Enema Of The State","1","8","168000","spotify:user:124275045","2017-06-19T22:36:41Z"
