﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4cmrg8PybJqkega47ogbaR","If It Rains","Basia Bulat","Heart Of My Own","1","12","151053","spotify:user:124275045","2013-02-27T17:42:50Z"
"spotify:track:0HRshWRNAwQBROvxXqG3i9","Skinny Love","Birdy","Birdy (Deluxe Version)","1","2","201080","spotify:user:124275045","2013-02-27T17:47:57Z"
"spotify:track:38GMZWLQs4NDvBtrIKRvNh","Love They Say","Tegan and Sara","Heartthrob","1","8","214133","spotify:user:124275045","2013-02-27T17:48:07Z"
"spotify:track:10rA9ND4fP1MX0Nj0iobSp","Sea of Love","Cat Power","The Covers Record","1","12","139466","spotify:user:124275045","2013-02-27T17:48:28Z"
"spotify:track:0Nkfc32tcugaRQCsIgr1SP","Dancehall Queen","Robyn","Body Talk","1","12","217438","spotify:user:124275045","2013-02-28T04:26:32Z"
"spotify:track:0Ex6BdBwQhVIiw0Ya17K0V","Get Myself Together","Robyn","Body Talk","1","13","220425","spotify:user:124275045","2013-02-28T04:30:19Z"
"spotify:local:Hem:250+Foil+Stars:Idle+%28The+Rabbit+Song%29:226","Idle (The Rabbit Song)","Hem","250 Foil Stars","0","0","226000","spotify:user:124275045","2013-02-28T04:45:02Z"
"spotify:track:6WLkxUmRRl2OC6UFGc8tTa","Raincoat Song","The Decemberists","Always The Bridesmaid (Vol. 3)","1","2","139840","spotify:user:124275045","2013-02-28T04:45:37Z"
"spotify:track:07yCopX2UkaepuaKTqfvTA","She's So Lovely","Scouting For Girls","Angus, Thongs and Perfect Snogging","1","1","222720","spotify:user:124275045","2013-02-28T04:46:12Z"
"spotify:track:2PQb0GbjqxVobQPaPuBg8x","Set The Fire To The Third Bar","Snow Patrol, Martha Wainwright","Up To Now","1","4","202520","spotify:user:124275045","2013-02-28T04:47:47Z"
"spotify:track:4BVE5tIIpYabZcYCbephNW","Touch Me","The Doors","The Soft Parade","1","2","190253","spotify:user:124275045","2013-03-03T17:42:30Z"
"spotify:track:7j7abXhlxEIXJIQM6EbNHf","Your Song","Kate Walsh","Angus, Thongs and Perfect Snogging","1","7","247306","spotify:user:124275045","2013-03-05T02:57:09Z"
"spotify:track:6GZczC1cjgQsVLezhVeACo","Cry When You Get Older","Robyn","Body Talk Pt. 1","1","4","214360","spotify:user:124275045","2013-03-07T16:49:44Z"
"spotify:track:2cOCunrzyHVpTrTwSIKRbt","Black & Blue","Miike Snow","Miike Snow (Deluxe Edition)","1","5","219733","spotify:user:124275045","2013-03-15T20:52:41Z"
