﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:72DTGt2tVAL6ATVhzVjvkk","Lust For Life","Girls","Album","1","1","145293","spotify:user:124275045","2014-05-09T15:21:08Z"
"spotify:track:3H5EKi6MxJvKx163mk6UVL","Mayfly","Belle & Sebastian","If You’re Feeling Sinister","1","8","222133","spotify:user:124275045","2014-05-02T15:10:43Z"
"spotify:track:4fU3qg4SspCNdPXvjZqzoi","Full Phathom Five","Hem","Twelfth Night","1","9","87026","spotify:user:124275045","2014-05-04T01:49:16Z"
"spotify:track:3uTSIT4MVdyV7tIDviP9Cd","The Only Place","Best Coast","The Only Place (Deluxe Edition)","1","1","162634","spotify:user:124275045","2014-05-02T15:11:14Z"
"spotify:track:0uXDKiBgFexDfxCGEgFa4k","And She Was - Remastered","Talking Heads","The Best Of Talking Heads","1","15","217800","spotify:user:124275045","2014-05-02T15:11:32Z"
"spotify:track:6CBeS7KTP1jXERarUqeUsP","Send Me Down","HAIM","Don't Save Me","1","2","257493","spotify:user:124275045","2014-05-13T22:06:02Z"
"spotify:track:19Shlms2uTnOjIUg50TXzd","Never Going Back Again - 2004 Remaster For Digital; 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)","1","3","134400","spotify:user:124275045","2014-05-02T15:11:40Z"
"spotify:track:0t7ttzoe3dV0mah4lBI2kx","Gimme Shelter","The Rolling Stones","Hot Rocks (1964-1971)","2","5","270853","spotify:user:124275045","2014-05-02T15:11:46Z"
"spotify:track:2B1tOgoXOPQHj9p82LPQO2","I'm a Cuckoo","Belle & Sebastian","Dear Catastrophe Waitress","1","6","326173","spotify:user:124275045","2014-05-02T15:23:17Z"
"spotify:track:1YFKp87xRlDItsizxcARjx","This Must Be The Place (Naive Melody) - Live","Talking Heads","Stop Making Sense","1","11","297240","spotify:user:124275045","2014-05-02T15:38:28Z"
"spotify:track:6vSq5q5DCs1IvwKIq53hj2","Animal","Miike Snow","Miike Snow","1","1","263426","spotify:user:124275045","2014-05-04T01:36:04Z"
"spotify:track:4l2rTvruX4GFFC5R03R2lF","Better Off","HAIM","Forever EP","1","2","216680","spotify:user:124275045","2014-05-13T22:01:40Z"
"spotify:track:59RSrxkSKSixEWBAIvE5Wa","Starships","Nicki Minaj","Pink Friday ... Roman Reloaded (Deluxe)","1","10","210626","spotify:user:124275045","2014-05-04T01:37:29Z"
"spotify:track:1KM2YtlA69C6WKbxA1vdsR","Honey & I","HAIM","Days Are Gone","1","5","250133","spotify:user:124275045","2014-05-04T01:45:29Z"
"spotify:track:5cProjRylZ0agZh7bPoWLx","O Mistress Mine","Hem","Twelfth Night","1","12","120160","spotify:user:124275045","2014-05-04T01:49:45Z"
"spotify:track:0Tzzq5hXNn62bxxRbcA8X5","Lonely Girls","Lucinda Williams","Essence","1","1","242333","spotify:user:124275045","2014-05-22T16:50:59Z"
"spotify:track:7rCst0OgoSxwP1C6d7J8ks","Real","Years & Years","Real","1","1","245762","spotify:user:124275045","2014-05-05T00:33:41Z"
"spotify:track:29O5AnUWa9w9LZMHtcAQly","My Morphine","Hurray For The Riff Raff","My Dearest Darkest Neighbor","1","3","245920","spotify:user:124275045","2014-05-05T14:50:11Z"
"spotify:track:6PUIzlqotEmPuBfjbwYWOB","Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix / Radio Edit","Lana Del Rey, Cedric Gervais","Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix)","1","1","214912","spotify:user:124275045","2014-05-08T15:10:36Z"
"spotify:track:02ZorlDGq0uTnMobHNh4EL","Bravado","Lorde","Pure Heroine (Extended)","1","11","221408","spotify:user:124275045","2014-05-10T00:02:27Z"
"spotify:track:4YwLagaVWaegNK7RsUh1at","My Name Is Jonas","Weezer","Weezer (Deluxe Edition)","1","1","203960","spotify:user:124275045","2014-05-10T00:09:45Z"
"spotify:track:20byjuLA86KfF9qjzxiwWG","Graceless","The National","Trouble Will Find Me","1","8","275400","spotify:user:124275045","2014-05-12T03:25:20Z"
"spotify:track:6g6A7qNhTfUgOSH7ROOxTD","Talk Dirty (feat. 2 Chainz) - MDM Version","Jason Derulo, 2 Chainz","Talk Dirty","1","1","177685","spotify:user:124275045","2014-05-12T14:55:35Z"
"spotify:track:4YW2R3AqcfQEiWEYkcq2AH","Don't You Evah","Spoon","Ga Ga Ga Ga Ga","1","4","216613","spotify:user:124275045","2014-05-12T15:53:20Z"
"spotify:track:1KI016Hog5kWTGaKN3nZJS","Can't Let Go","Lucinda Williams","Car Wheels On A Gravel Road","1","7","208453","spotify:user:124275045","2014-05-20T15:58:49Z"
"spotify:track:3XOtujaVWXRHjKm6dAOm1R","Sewee Sewee","Mountain Man","Made The Harbor","1","9","131320","spotify:user:124275045","2014-05-29T15:28:27Z"
