﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5FpMGSfcqjBs6v9g4UfIqg","Wide-Eyed, Legless","Laura Veirs","July Flame","1","11","155733","spotify:user:124275045","2013-11-12T01:26:02Z"
"spotify:track:5rXeGg6gab1Jp9Bh7Tu8Qg","The City With No Rivers","Basia Bulat","Tall Tall Shadow","1","6","203920","spotify:user:124275045","2013-11-01T16:11:20Z"
"spotify:track:0q1exbzIDRxqJ6VUKH3seg","Sara","Fleetwood Mac","Greatest Hits","1","13","382373","spotify:user:124275045","2013-11-01T15:51:57Z"
"spotify:track:1q56onaXURNVD1iQnsNmKH","Bláþráður","Sigur Rós","Kveikur","1","8","311626","spotify:user:124275045","2013-11-05T02:59:28Z"
"spotify:track:5fryipSRKF00a4hie6pHL4","It Can't Be You","Basia Bulat","Tall Tall Shadow","1","4","238346","spotify:user:124275045","2013-11-01T16:11:18Z"
"spotify:track:54aYZuYTL5amKcNbGbJSZp","All Night","Icona Pop","THIS IS... ICONA POP","1","2","187026","spotify:user:124275045","2013-11-09T16:41:05Z"
"spotify:track:74fpNVAJrKGQuqHETi4WSt","Tennis Court","Lorde","Pure Heroine","1","1","198907","spotify:user:124275045","2013-11-01T15:52:15Z"
"spotify:track:2Cq2BrkoxqMvP3hcJHWNga","Silvia","Miike Snow","Miike Snow (Deluxe Edition)","1","3","385666","spotify:user:124275045","2013-11-03T20:10:36Z"
"spotify:track:2QhURnm7mQDxBb5jWkbDug","Don't Panic","Coldplay","Parachutes","1","1","136866","spotify:user:124275045","2013-11-01T16:12:22Z"
"spotify:track:7Gu2gmZdFbQzTdqz0Plx6j","Sigur 1 (Untitled)","Sigur Rós","(Untitled)","1","1","398320","spotify:user:124275045","2013-11-05T03:01:19Z"
"spotify:local:Ellie+Goulding+%26+Erik+Hassle:Sundries:Be+Mine:165","Be Mine","Ellie Goulding & Erik Hassle","Sundries","0","0","165000","spotify:user:124275045","2013-11-05T03:02:46Z"
"spotify:track:0HRshWRNAwQBROvxXqG3i9","Skinny Love","Birdy","Birdy (Deluxe Version)","1","2","201080","spotify:user:124275045","2013-11-08T17:48:13Z"
"spotify:track:6n2GPvMJtFZ4ckoc9EWHMx","Do My Thang","Miley Cyrus","Bangerz (Deluxe Version)","1","11","225493","spotify:user:124275045","2013-11-09T16:38:22Z"
"spotify:track:2cOCunrzyHVpTrTwSIKRbt","Black & Blue","Miike Snow","Miike Snow (Deluxe Edition)","1","5","219733","spotify:user:124275045","2013-11-08T17:51:44Z"
"spotify:track:2ofOe2OaXFpZF5ETbsc7Qu","Honeymoon Avenue","Ariana Grande","Yours Truly","1","1","339733","spotify:user:124275045","2013-11-09T16:33:46Z"
"spotify:track:6kpK6pS88tHTEOUdo5W09a","Paris","Magic Man","You Are Here","1","2","232933","spotify:user:124275045","2013-11-09T17:11:07Z"
