﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0Nf53RDPZEjFrQE4B5n6Vf","Yellow Flicker Beat","Lorde","Yellow Flicker Beat (From The Hunger Games: Mockingjay Part 1)","1","1","232506","spotify:user:124275045","2014-09-30T19:55:44Z"
"spotify:track:5gf6t8j49qayhwrnd05uLI","Crosses","José González","Imperial Recordings Best Of","1","17","161840","spotify:user:124275045","2014-09-30T19:47:18Z"
"spotify:track:4DKRLDVRIGojztAOEdvmXK","I Put A Spell On You","Nina Simone","The Best Of Nina Simone","1","7","158200","spotify:user:124275045","2014-09-30T19:48:15Z"
"spotify:track:70AoHzwXbJBdz3DZ5fSDfY","Habits (Stay High)","Tove Lo","Habits (Stay High)","1","1","208000","spotify:user:124275045","2014-09-30T19:46:37Z"
"spotify:track:0GG7ei637NDIN2w11TWtLC","Shake It Off","Taylor Swift","Shake It Off","1","1","219200","spotify:user:124275045","2014-09-30T19:46:41Z"
"spotify:track:0eAkT8awa4XzUAGwBAhXDf","Lady Margret","Cassie Franklin","Cold Mountain (Music From the Miramax Motion Picture)","1","13","182173","spotify:user:124275045","2014-09-30T19:46:53Z"
"spotify:track:1rFclTe9JvoAg9BplVrfRX","Tam Lin","Fairport Convention","Liege And Lief","1","7","431773","spotify:user:124275045","2014-09-30T19:47:07Z"
"spotify:track:1zR1eVo6oJI3fvIP0b47QQ","Cicadas And Gulls","Feist","Metals","1","10","196160","spotify:user:124275045","2014-09-30T19:59:26Z"
"spotify:track:1UPbMOdvd82WdzjxG4ZLdV","How Come You Never Go There","Feist","Metals","1","4","204626","spotify:user:124275045","2014-10-14T01:00:41Z"
"spotify:track:7y474ZKsTTa90APKWwLX0i","From Now On","Basia Bulat","Tall Tall Shadow","1","10","144690","spotify:user:124275045","2014-10-16T14:28:54Z"
"spotify:track:7mAF2MJdbNT75VrVcgwT6F","Hounds of Love - new mix","The Futureheads","The Futureheads (new version)","1","14","182680","spotify:user:124275045","2014-10-18T16:34:43Z"
"spotify:track:2TJqhMuTx2eMun7MMQVIFy","Never Going Back Again - Remastered LP Version; Remastered","Fleetwood Mac","Rumours","1","3","134400","spotify:user:124275045","2014-10-22T13:06:54Z"
"spotify:track:1ZbCtBu49bZ3We2GjFegX1","O The Wind And Rain","Peggy Seeger","Bring Me Home","1","11","274840","spotify:user:124275045","2014-10-23T13:33:13Z"
"spotify:track:5BkNCuxzzid0gz9sx3NNbX","My Silver Lining","First Aid Kit","Stay Gold","1","1","215493","spotify:user:124275045","2014-10-30T14:58:32Z"
