﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5i8SLQcJEpPthiiKrxVIti","Be Mine!","Robyn","Robyn","1","6","208600","spotify:user:124275045","2013-09-06T16:18:04Z"
"spotify:track:2QhURnm7mQDxBb5jWkbDug","Don't Panic","Coldplay","Parachutes","1","1","136866","spotify:user:124275045","2013-09-06T16:37:58Z"
"spotify:track:6XNhNFUoKd88yDDlxwcVwe","In The Night","Basia Bulat","Oh, My Darling (US Standard Edition)","1","7","182173","spotify:user:124275045","2013-09-16T18:29:21Z"
"spotify:local:Ellie+Goulding:Sundries:Your+Song:190","Your Song","Ellie Goulding","Sundries","0","0","190000","spotify:user:124275045","2013-09-06T16:40:57Z"
"spotify:local:Anna+Kendrick:Pitch+Perfect:Cups+-+When+I%27m+gone+%28Radio+Version%29:128","Cups - When I'm gone (Radio Version)","Anna Kendrick","Pitch Perfect","0","0","128000","spotify:user:124275045","2013-09-06T16:41:01Z"
"spotify:track:6Ce04PNSJO1KkF1WWhSXEi","Blue Jeans","Lana Del Rey","Born To Die (Bonus Track Version)","1","3","209453","spotify:user:124275045","2013-09-06T16:41:22Z"
"spotify:track:6bwiMpSEDrgE7YU0HfqD6t","Lonely Girls","Lucinda Williams","Essence","1","1","242333","spotify:user:124275045","2013-09-06T18:04:55Z"
"spotify:track:5FDatp5gbVAtI9usu6MPJ4","Sprawl II (Mountains Beyond Mountains)","Arcade Fire","The Suburbs","1","15","318346","spotify:user:124275045","2013-09-06T18:05:09Z"
"spotify:track:5hhkALqXJpAFGKbtOBuIy8","Cherokee","Cat Power","Sun","1","1","285546","spotify:user:124275045","2013-09-06T18:05:34Z"
"spotify:track:1PaWNF1EiqIe7swBJpvwIX","XIII. Columba aspexit","Hildegard von Bingen, VocaMe, Michael Popp","Inspiration (Hildegard von Bingen: Lieder und Visionen)","1","13","328853","spotify:user:124275045","2013-09-11T00:53:53Z"
"spotify:track:6Mk9zJ49Ljng2uRl9TX7lH","Tall Tall Shadow","Basia Bulat","Tall Tall Shadow","1","1","243066","spotify:user:124275045","2013-09-12T00:12:02Z"
"spotify:track:1ywFWiTDPQcC8JfrX1l0gq","Bravado","Lorde","The Love Club EP","1","1","221408","spotify:user:124275045","2013-09-16T18:56:50Z"
"spotify:track:6fgjU6IfBOXHI3OKtndEeE","Suspicious Minds","Elvis Presley","Elvis 75 - Good Rockin' Tonight","3","19","260973","spotify:user:124275045","2013-09-23T00:49:42Z"
"spotify:track:6eC0MA2pqmgdgWnehsU9Px","It Might As Well Be Spring","Nina Simone","Nina Simone Her Greatest Hits","1","5","236186","spotify:user:124275045","2013-09-26T01:31:32Z"
